,secs,x,y,delay
434,1433753789,17.2496117207,27.8546543069,2.72
435,1433753789,17.4628693546,27.8643434655,2.93
436,1433753790,17.4628693546,27.8643434655,2.71
437,1433753790,17.6596753009,27.8679202361,2.75
438,1433753791,17.6596753009,27.8679202361,2.74
439,1433753791,17.6596753009,27.8679202361,2.73
440,1433753792,17.745744723,27.8797448616,2.7
441,1433753792,17.7283559286,27.856947142,2.76
442,1433753793,17.7410014625,27.8535660293,2.7
443,1433753793,17.757436467,27.8710009662,2.65
444,1433753794,17.7480224238,27.9529447211,3.56
445,1433753794,17.6625999771,28.1728288735,3.03
446,1433753795,17.5693911383,28.3824855466,2.78
447,1433753795,17.4669067875,28.6051523493,3.84
448,1433753796,17.4104456251,28.8227434,4.04
449,1433753796,17.3565548675,29.0354745676,2.73
450,1433753797,17.2648163717,29.2773570853,2.71
451,1433753797,17.1148367419,29.4936857376,3.5
452,1433753798,17.0372815734,29.7255675046,2.69
453,1433753798,16.8896052088,29.9356227346,2.73
454,1433753799,16.8388757174,30.1286214891,4.26
455,1433753799,16.8388757174,30.1286214891,3.29
456,1433753800,16.8388757174,30.1286214891,2.68
457,1433753800,16.8388757174,30.1286214891,4.92
458,1433753801,16.7642247061,30.3010710237,2.77
459,1433753801,16.5019691357,30.2494198781,2.71
460,1433753802,16.2193137314,30.2642165117,2.65
461,1433753802,15.9807902628,30.2609659422,4.5
462,1433753803,15.7361829025,30.2556972988,2.76
463,1433753803,15.4969939255,30.2044346047,3.93
464,1433753804,15.2429140986,30.1676862403,2.76
465,1433753804,15.0109003655,30.1416098707,4.88
466,1433753805,14.7799176197,30.136393081,3.27
467,1433753805,14.6035662545,30.0839574964,2.92
468,1433753806,14.3326253179,30.1164110343,2.74
469,1433753806,14.0914464256,30.1490427976,2.77
470,1433753807,13.7930371721,30.2807836555,3.08
471,1433753807,13.5462189766,30.2971062979,3.65
472,1433753808,13.2927352647,30.2509426624,3.01
473,1433753808,13.0890362787,30.1631448369,2.71
474,1433753809,12.9194234332,29.9965869781,2.76
475,1433753810,12.9194234332,29.9965869781,2.75
476,1433753810,12.7583398059,29.8837073987,2.75
477,1433753811,12.7583398059,29.8837073987,2.69
478,1433753811,12.7583398059,29.8837073987,6.6
479,1433753812,12.5991583965,29.7572017835,2.64
480,1433753812,12.5694274681,29.5184018473,2.7
481,1433753813,12.5320803224,29.288141459,2.7
482,1433753813,12.4910494698,29.0663409396,2.75
483,1433753814,12.4662157927,28.8240684008,3.35
484,1433753814,12.4465566697,28.5819444987,2.69
485,1433753815,12.4389891517,28.5548672052,2.73
486,1433753815,12.3624340288,28.3072598166,2.71
487,1433753816,12.3029672129,28.0543529222,2.81
488,1433753816,12.1880363065,27.8066020748,2.7
489,1433753817,12.1853796899,27.5943810703,2.7
490,1433753817,12.1853796899,27.5943810703,2.73
491,1433753818,12.1081107124,27.3660657497,2.66
492,1433753819,12.0739649879,27.157251584,2.75
493,1433753819,12.0739649879,27.157251584,4.24
494,1433753820,12.0739649879,27.157251584,3.71
495,1433753820,12.0739649879,27.157251584,2.75
496,1433753821,12.0739649879,27.157251584,2.77
497,1433753821,12.0739649879,27.157251584,4.58
498,1433753822,12.0739649879,27.157251584,2.85
499,1433753822,12.0739649879,27.157251584,2.71
500,1433753823,12.0739649879,27.157251584,2.73
501,1433753823,12.0739649879,27.157251584,2.7
502,1433753824,12.0739649879,27.157251584,2.6
503,1433753824,12.0739649879,27.157251584,2.7
504,1433753825,12.0739649879,27.157251584,2.68
505,1433753825,12.0739649879,27.157251584,2.75
506,1433753826,12.0739649879,27.157251584,2.65
507,1433753826,12.0739649879,27.157251584,2.73
508,1433753827,12.0739649879,27.157251584,2.8
509,1433753827,12.0739649879,27.157251584,2.73
510,1433753828,12.0739649879,27.157251584,3.02
511,1433753828,12.0739649879,27.157251584,2.78
512,1433753829,12.0739649879,27.157251584,2.67
513,1433753829,12.0739649879,27.157251584,3.22
514,1433753830,12.0739649879,27.157251584,2.76
515,1433753830,12.0739649879,27.157251584,4.34
516,1433753831,12.0739649879,27.157251584,2.74
517,1433753831,12.0739649879,27.157251584,2.76
518,1433753832,12.0739649879,27.157251584,3.15
519,1433753832,12.0739649879,27.157251584,2.67
520,1433753833,12.0739649879,27.157251584,2.78
521,1433753833,12.0739649879,27.157251584,2.67
522,1433753834,12.0739649879,27.157251584,3.05
523,1433753834,12.0739649879,27.157251584,2.72
524,1433753835,12.0739649879,27.157251584,2.74
525,1433753835,12.0739649879,27.157251584,2.7
526,1433753836,12.0739649879,27.157251584,2.75
527,1433753836,12.0739649879,27.157251584,2.72
528,1433753837,12.0739649879,27.157251584,2.7
529,1433753837,12.0739649879,27.157251584,2.8
530,1433753838,12.0739649879,27.157251584,2.72
531,1433753838,12.0739649879,27.157251584,2.69
532,1433753839,12.0739649879,27.157251584,2.94
533,1433753839,12.0739649879,27.157251584,2.62
534,1433753840,12.0739649879,27.157251584,2.66
535,1433753840,12.0739649879,27.157251584,2.7
536,1433753841,12.0739649879,27.157251584,2.69
537,1433753841,12.0739649879,27.157251584,2.73
538,1433753842,12.0739649879,27.157251584,2.75
539,1433753842,12.0739649879,27.157251584,2.61
540,1433753843,12.0739649879,27.157251584,2.78
541,1433753843,12.0739649879,27.157251584,2.74
542,1433753844,12.0739649879,27.157251584,2.66
543,1433753844,12.0739649879,27.157251584,2.59
544,1433753845,12.0739649879,27.157251584,2.62
545,1433753845,12.0739649879,27.157251584,2.62
546,1433753846,12.0739649879,27.157251584,2.61
547,1433753846,12.0739649879,27.157251584,2.66
548,1433753847,12.0739649879,27.157251584,2.65
549,1433753847,12.0739649879,27.157251584,5.88
550,1433753848,12.0739649879,27.157251584,2.68
551,1433753848,12.0739649879,27.157251584,2.99
552,1433753849,12.0739649879,27.157251584,2.67
553,1433753849,12.1060786124,26.9637714649,5.92
554,1433753850,12.2097379728,26.7236912923,2.76
555,1433753850,12.2634989502,26.4755409041,2.63
556,1433753851,12.2850054817,26.2589356338,2.65
557,1433753851,12.2100293171,26.009576428,2.74
558,1433753852,12.2048710304,25.9794344939,2.66
559,1433753852,12.2048710304,25.9794344939,2.87
560,1433753853,12.2048710304,25.9794344939,2.89
561,1433753853,12.298331745,25.7752658886,2.7
562,1433753854,12.298331745,25.7752658886,2.65
563,1433753854,12.2848191352,25.5656712646,2.76
564,1433753855,12.2848191352,25.5656712646,2.68
